filename,acne_inflammatory,acne_noninflammatory,hyperpigmentation,wrinkles
acne_inflamatory/07Acne0811011-Copy_jpg.rf.a975d52a38f5b1880caaf3a5b23608ef.jpg,0,0,0,0
acne_inflamatory/07Acne081101_jpg.rf.78aec21a5f31ef6ece56e374fe449f32.jpg,0,0,0,0
acne_inflamatory/07AcnePittedScars1-Copy_jpg.rf.b175b704a5d4ca66eab275a8e53444d7.jpg,0,0,0,0
acne_inflamatory/07AcnePittedScars_jpg.rf.515bfd5fcce6c7c02bbc4b341806a114.jpg,0,0,0,0
acne_inflamatory/07RosaceaFulFAce1-Copy_jpg.rf.b093fb5f5d093b7c8c0b84a05ccdb5bb.jpg,0,0,0,0
acne_inflamatory/07RosaceaFulFAce_jpg.rf.8f4739db4fb3fbccf42d994b6400f39a.jpg,0,0,0,0
acne_inflamatory/07RosaceaOK08280631-Copy_jpg.rf.6e30df520d58c5625e16ef7aab4293e9.jpg,0,0,0,0
acne_inflamatory/07RosaceaOK0828063_jpg.rf.1e0bdbe71edf3875e3f51c9c8c1eafdc.jpg,0,0,0,0
acne_inflamatory/07SteroidPerioral11-Copy_jpg.rf.b0727e7adac0caf75f61c21ecd12231e.jpg,0,0,0,0
acne_inflamatory/07SteroidPerioral1_jpg.rf.f9a353cdd5f2878257dd0e4afeb65bcb.jpg,0,0,0,0
acne_inflamatory/07VascularFace0120_jpg.rf.f7eae583522dd1e7b9cc7d066ec0f9ee.jpg,0,0,0,0
acne_inflamatory/08PerioralDerm11_jpg.rf.004e21761c248827c5d826f8964994a5.jpg,0,0,0,0
acne_inflamatory/08PerioralDerm1_jpg.rf.86cb07f9745a8d3a98ef6a1ae535d793.jpg,0,0,0,0
acne_inflamatory/0_19hJvhBaJyf8eJwT__jpg.rf.bfd5d23af4da12fd75728ada16887ff4.jpg,0,0,0,0
acne_inflamatory/0_before_jpg.rf.db1b0102231c11d9d92d42a9a13c6ffb.jpg,0,0,0,0
acne_inflamatory/0_Skin_jpg.rf.ffb1675b09c552a7f69c44f46693d5c9.jpg,0,0,0,0
acne_inflamatory/1-inst-natural-acne-solutions-36374-150x1501_jpg.rf.44b1c86eb5cc1a33960732535e910c2b.jpg,0,0,0,0
acne_inflamatory/1-inst-natural-acne-solutions-36374-150x150_jpg.rf.28c1f79025b220631c4a7708bdf18d64.jpg,0,0,0,0
acne_inflamatory/10_jpg.rf.2be69049e12202b182b2122c4611f68f.jpg,0,0,0,0
acne_inflamatory/10_Skin11_jpg.rf.308951a3d9b7276fe9dad74fbf059716.jpg,0,0,0,0
acne_inflamatory/10_Skin1_jpg.rf.de6efc167231e61d739015385197ed96.jpg,0,0,0,0
acne_inflamatory/11118622-6820319-image-a-24_15528711043151_jpg.rf.1841d09e1616062c3f7fb5671bf1997c.jpg,0,0,0,0
acne_inflamatory/11_jpg.rf.4eefa4743d6326f9705d88ac58673182.jpg,0,0,0,0
acne_inflamatory/12_jpg.rf.81815597daf36f9c6c4192864e6b0830.jpg,0,0,0,0
acne_inflamatory/13-1-_jpg.rf.8aaab546298a675fee36302fba103d15.jpg,0,0,0,0
acne_inflamatory/13_jpg.rf.abb135e6cd587e65fbd066ebef73cd23.jpg,0,0,0,0
acne_inflamatory/141F6905-C813-7331-E18424112DBD5B0A_jpg.rf.3a70d36c07659f614260d7947647cbe4.jpg,0,0,0,0
acne_inflamatory/14_jpg.rf.f1d6d4afa4d43d6b1fe591161764a3ea.jpg,0,0,0,0
acne_inflamatory/15_jpg.rf.bb97123196b8338240b4cedd6e8fa31f.jpg,0,0,0,0
acne_inflamatory/16_jpg.rf.17c3de566bc31f56269b0ee3166efd6b.jpg,0,0,0,0
acne_inflamatory/17a4d1a917e5faa9f2675ebd83e526791-Copy_jpg.rf.098deec8e8e810dc01fc993070730305.jpg,0,0,0,0
acne_inflamatory/17a4d1a917e5faa9f2675ebd83e52679_jpg.rf.e59368f2823a41c14b52f43b97b5a89c.jpg,0,0,0,0
acne_inflamatory/17_jpg.rf.f7ab3aa23151f14adae6677542a34945.jpg,0,0,0,0
